"location_id","street_name","zip_code","state"
"1","806-9252 Vivamus Street","323543","Daman and Diu"
"2","Ap #584-2176 Erat. Avenue","896614","Goa"
"3","548-5391 Purus St.","319433","Himachal Pradesh"
"4","416-2570 Nullam Street","768754","Andhra Pradesh"
"5","4461 Enim. Av.","278513","Lakshadweep"
"6","155-4253 Tempor Rd.","382549","Andaman and Nicobar Islands"
"7","Ap #642-767 Auctor, Av.","766224","Karnataka"
"8","Ap #848-1455 Sed Street","655525","Gujarat"
"9","737-3898 Libero Ave","326892","Maharastra"
"10","706 Lorem Avenue","204030","Himachal Pradesh"
"11","Ap #994-9316 Lacinia Rd.","715250","Goa"
"12","P.O. Box 105, 9618 Hendrerit. Road","522805","Maharastra"
"13","Ap #747-4490 Vitae Rd.","122242","Odisha"
"14","Ap #649-7447 Ornare St.","215365","Himachal Pradesh"
"15","Ap #269-9862 Tempor Av.","338144","Uttarakhand"
"16","P.O. Box 571, 5903 Dolor, Av.","287822","Kerala"
"17","227-5462 Ut Rd.","366334","Uttar Pradesh"
"18","554-3984 Risus Street","447453","Daman and Diu"
"19","154-5380 Eget, Avenue","322468","Andhra Pradesh"
"20","905-3947 Nonummy Rd.","618381","Andaman and Nicobar Islands"
"21","8389 Mi. Rd.","661834","Haryana"
"22","Ap #713-8579 Non, Road","522443","West Bengal"
"23","Ap #484-9554 Mauris St.","975662","Odisha"
"24","Ap #935-8276 Diam. Road","571897","Assam"
"25","888-8841 Fusce Ave","386803","Lakshadweep"
"26","9171 Magnis Rd.","235630","Odisha"
"27","P.O. Box 447, 5741 Commodo St.","525418","Tripura"
"28","Ap #565-3129 Gravida Avenue","672473","Maharastra"
"29","4767 In Av.","963601","Bihar"
"30","726-1271 Facilisis Rd.","519741","Maharastra"
"31","P.O. Box 216, 1943 Nunc Street","363535","Nagaland"
"32","454-8836 Fringilla Street","853882","West Bengal"
"33","Ap #425-7167 Vel Avenue","548417","Chandigarh"
"34","852-8517 Penatibus Avenue","599348","Odisha"
"35","181-1154 Dignissim Road","748111","Kerala"
"36","P.O. Box 136, 206 Mattis St.","163706","Pondicherry"
"37","Ap #292-8270 Lectus Road","322343","Delhi"
"38","416-6843 Nascetur Road","700643","Odisha"
"39","Ap #481-367 Sit Avenue","428235","Haryana"
"40","485-6688 Bibendum Av.","220662","Andhra Pradesh"
"41","1082 Non Ave","310531","Dadra and Nagar Haveli"
"42","P.O. Box 138, 8087 Metus. Ave","519626","Uttarakhand"
"43","1812 Nec Street","887939","Himachal Pradesh"
"44","3860 Proin St.","438217","Mizoram"
"45","7638 Est St.","435572","Arunachal Pradesh"
"46","P.O. Box 588, 9637 At Street","675252","Delhi"
"47","Ap #683-8914 Felis. Rd.","643487","Kerala"
"48","P.O. Box 839, 8408 Egestas, St.","541125","Arunachal Pradesh"
"49","5021 Auctor, St.","994642","Gujarat"
"50","953-803 Senectus Rd.","834633","Andaman and Nicobar Islands"
"51","9971 Leo. St.","445456","Goa"
"52","968-3766 Tortor. Rd.","582548","Uttar Pradesh"
"53","1895 A, Road","681535","Nagaland"
"54","Ap #177-9446 A Rd.","822411","Dadra and Nagar Haveli"
"55","8584 Laoreet Rd.","371758","West Bengal"
"56","6736 Nullam Ave","619535","Uttar Pradesh"
"57","Ap #366-1539 Ullamcorper Rd.","458964","Haryana"
"58","195-7485 Parturient Road","736363","Bihar"
"59","8368 Non, St.","986283","Meghalaya"
"60","Ap #984-4029 Urna Rd.","738228","Mizoram"
"61","Ap #513-9670 Dui Avenue","214904","Daman and Diu"
"62","992-576 Arcu Avenue","508109","Uttar Pradesh"
